734,1092
561,90
408,115
266,299
417,1835
196,4632
1078,449
1278,790
1092,880
1509,1131
1184,1945
1597,1791
1043,1790
1216,2077
1400,3314
1545,4407
2152,1251
1759,468
2097,2107
1753,1740
2175,3524
2082,4932
2394,801
2902,956
2753,1735
2545,1592
2543,2323
2659,2530
2709,2850
2728,2769
2555,2617
2717,2049
2628,1907
2586,1802
2689,3246
3286,3002
3882,93
3729,1145
3267,2052
3563,2279
3894,2320
3520,3465
3405,4159
3773,4414
3351,4655
3294,5146
3163,5490
3244,4999
3981,73
4967,1607
4832,2107
5152,2946
5103,2963
4902,3368
5429,3070
5521,3502
5492,3549
5494,297
5562,396
5608,2251
2202,3878
2863,1340
4744,672
4221,4409
2676,3781
