30,1238
351,523
371,786
787,482
145,1306
33,1381
519,1760
395,1323
943,137
1337,1544
1300,1096
970,978
758,1045
1713,1337
199,491
211,1120
1911,1098
35,612
477,1203
1789,892
338,287
1941,476
1384,1377
871,784
1011,519
82,1699
152,902
1457,893
1980,471
145,394
1979,892
148,218
57,489
1195,1121
850,1083
809,1655
1077,444
618,1175
936,1112
73,98
1746,1318
157,1489
1083,610
233,1812
1386,1817
1974,16
1071,1522
1450,1841
768,1729
1078,1965
30,1900
1969,1816
205,996
619,448
157,533
1816,1744
1948,1679
1957,226
1860,1826
334,1539
1644,1823
1159,1211
617,178
567,849
1176,1777
1073,1160
1940,895
1775,401
1159,1368
1842,1891
1511,1393
1679,1750
1727,1831
1905,989
1979,1047
1067,38
1767,1010
64,332
1981,1140
158,1191
