657,133
562,265
723,1065
800,1965
547,1826
688,3274
363,4243
338,4319
266,4264
60,3993
127,3904
277,4551
139,4451
796,5315
1456,244
1023,2091
1392,1626
1538,1716
1514,3260
1481,3156
1341,3194
1389,3201
1525,4304
1581,5020
1230,5641
1173,5593
2278,1331
2230,672
1656,3099
1697,3287
2121,3306
1979,3688
1862,3607
1954,4580
2046,5198
2690,921
2863,1099
2815,622
2858,399
2624,508
2455,281
2551,2646
2388,2308
2690,1944
2372,3434
2915,3124
3123,3671
2437,5301
2691,5164
2844,5031
2920,5587
3579,516
3408,736
3631,1448
3703,330
3533,1669
3353,2961
3301,2991
3420,3651
3462,5069
3281,5075
3350,4676
3190,4497
4316,1302
4540,2361
4482,3480
4665,3399
4210,3742
5355,4589
4992,5116
5292,5101
5445,2252
5554,3836
5526,4252
5496,4804
719,91
3428,394
940,4534
3530,4432
19,1908
5229,5243
4450,1737
