643,2495
734,2558
343,2532
25,2763
391,1425
506,933
32,830
619,861
1032,1251
397,2809
584,3378
389,3807
1099,2217
1521,3403
1997,2516
2944,2894
2372,1781
2720,1982
2403,2962
2557,5263
3106,4516
3172,3407
3822,4118
3658,4293
3513,4300
3713,3404
3625,3533
3758,4813
3714,5060
3973,1094
4310,3864
4375,3080
3948,5395
4595,5004
4381,5297
4439,4671
4510,4633
4616,5400
4301,4318
4122,4665
4854,337
4951,892
5139,3842
4758,4077
5167,5027
4896,5428
4731,5567
4793,5123
597,2019
466,5607
967,2870
2077,3552
2406,5506
3605,2063
3526,4152
3108,5188
4252,1012
4281,1251
4410,4354
5184,1304
5052,4825
4908,5549
5264,2897
5258,3908
5574,5348
5509,4813
4610,1300
