246,694
634,657
493,675
442,2892
481,3456
794,4557
1461,1472
1454,2700
1364,2722
1001,2127
960,2527
1064,1622
1233,1671
1269,3564
1292,3332
1193,3325
1536,5166
2352,1653
2183,1892
2067,1890
1749,2524
1764,3378
1831,3290
1766,4189
2976,4300
2970,2959
2889,3025
2565,3596
2474,3811
2442,4919
3056,5225
3446,1259
3817,1112
3671,406
3248,762
3749,2408
3777,2760
3871,5277
3980,1537
3955,1482
4032,1772
4640,4067
4767,2339
5443,5126
5365,5141
168,2163
1541,991
969,365
1394,3414
1113,5387
2160,269
1797,1111
1980,5622
2822,255
2925,5251
3156,2697
4369,859
4110,570
4524,1022
5476,5272
5596,5539
951,5238
5086,3062
18,1248
1551,1421
1535,948
638,1250
2496,2528
4828,1976
1433,3302
499,1024
1763,1009
999,1135
3864,4796
3783,4527
3047,3072
2336,5129
4272,2688
4353,2480
2386,1869
